TEXTCLIENT_APP_MAP = "Карта світу"
TEXTCLIENT_APP_LOGOUT = "Вихід"
TEXTCLIENT_APP_PRIVACY = "Приватність"
TEXTCLIENT_APP_DEBUG = "Налагодження"
TEXTCLIENT_APP_CHAT = "Чат"
TEXTCLIENT_APP_NOTICE = "Повідомлення"
TEXTCLIENT_APP_STATUS = "Статус"
TEXTCLIENT_APP_MOTION = "Рухи"
TEXTCLIENT_APP_SKILL = "Навички"
TEXTCLIENT_APP_PRIVATE_SHOP = "Приватний магазин"
TEXTCLIENT_APP_QUEST = "Завдання"
TEXTCLIENT_APP_CASH_SHOP = "Flyff Магазин"
TEXTCLIENT_APP_INVENTORY = "Інвентар"
TEXTCLIENT_APP_ITEM_DURATION = "Тривалість"
TEXTCLIENT_APP_MESSENGER = "Месенджер"
TEXTCLIENT_APP_PARTY = "Партія"
TEXTCLIENT_APP_GUILD = "Гільдія"
TEXTCLIENT_APP_COUPLE = "Пара"
TEXTCLIENT_APP_HELP = "Допомога"
TEXTCLIENT_APP_HELP_TIPS = "Поради"
TEXTCLIENT_APP_FAQ = "Часті запитання"
TEXTCLIENT_APP_FITTINGROOM = "Примірювальня"
TEXTCLIENT_APP_HELP_WIKI = "Вікі Допомога"
TEXTCLIENT_APP_INFO_PANG = "Інфо-Панг"
TEXTCLIENT_APP_ACHIEVEMENTS = "Досягнення"
TEXTCLIENT_APP_BATTLEPASS = "Flyff Пас"
TEXTCLIENT_APP_GACHA = "Гача"
TEXTCLIENT_APP_BOT = "Бот"
TEXTCLIENT_APP_EXTRABAG = "Розширений Інвентар"
TEXTCLIENT_APP_LOTTERY = "Лотерея"
TEXTCLIENT_APP_EVENTPASS = "Місячний Пас"
TEXTCLIENT_APP_EVENTS = "Події"
TEXTCLIENT_APP_SWITCHEQUIP = "Змінити Спорядження"
